"year","pref","ku","kun","wl","rank","nocand","seito","j_name","gender","name","previous","age","exp","status","vote","voteshare","eligible","turnout","seshu_dummy","jiban_seshu","nojiban_seshu"
1996,"愛知","aichi",1,1,1,7,"新進","河村たかし","male","KAWAMURA, TAKASHI",2,47,9828097,1,66876,40,346774,49.2,0,".","."
1996,"愛知","aichi",1,0,2,7,"自民","今枝敬雄","male","IMAEDA, NORIO",2,72,9311555,2,42969,25.7,346774,49.2,0,".","."
1996,"愛知","aichi",1,0,3,7,"民主","佐藤泰介","male","SATO, TAISUKE",2,53,9231284,1,33503,20.1,346774,49.2,0,".","."
1996,"愛知","aichi",1,0,4,7,"共産","岩中美保子","female","IWANAKA, MIHOKO",0,43,2177203,0,22209,13.3,346774,49.2,0,".","."
1996,"愛知","aichi",1,0,5,7,"文化フォーラム","伊東マサコ","female","ITO, MASAKO",0,51,".",0,616,0.4,346774,49.2,0,".","."
1996,"愛知","aichi",1,0,6,7,"国民党","山田浩","male","YAMADA, HIROSHI",0,51,".",0,566,0.3,346774,49.2,0,".","."
1996,"愛知","aichi",1,0,7,7,"無所","浅野光雪","male","ASANO, KOSETSU",0,45,".",0,312,0.2,346774,49.2,0,".","."
1996,"愛知","aichi",2,1,1,8,"新進","青木宏之","male","AOKI, HIROYUKI",2,51,12940178,1,56101,32.9,338310,51.8,0,".","."
1996,"愛知","aichi",2,0,2,8,"自民","田辺広雄","male","TANABE, HIROO",0,71,16512426,2,44938,26.4,338310,51.8,1,"伯父＝加藤鐐五郎（衆議院議員）","."
1996,"愛知","aichi",2,2,3,8,"民主","古川元久","male","FURUKAWA, MOTOHISA",0,30,11435567,0,43804,25.7,338310,51.8,0,".","."
1996,"愛知","aichi",2,0,4,8,"共産","石山淳一","male","ISHIYAMA, JUNICHI",0,31,2128510,0,21337,12.5,338310,51.8,0,".","."
1996,"愛知","aichi",2,0,5,8,"自由連合","藤原美智子","female","FUJIWARA, MICHIKO",0,44,3270533,0,2670,1.6,338310,51.8,0,".","."
1996,"愛知","aichi",2,0,6,8,"文化フォーラム","石川和己","male","ISHIKAWA, KAZUMI",0,61,".",0,701,0.4,338310,51.8,0,".","."
1996,"愛知","aichi",2,0,7,8,"無所","村松陽一","male","MURAMATSU, YOICHI",0,47,".",0,418,0.2,338310,51.8,0,".","."
1996,"愛知","aichi",2,0,8,8,"国民党","山崎義章","male","YAMAZAKI, YOSHIAKI",0,43,".",0,348,0.2,338310,51.8,0,".","."
1996,"愛知","aichi",3,1,1,7,"新進","吉田幸弘","male","YOSHIDA, YUKIHIRO",0,35,11245219,0,52478,32.3,331808,50.4,0,".","."
1996,"愛知","aichi",3,0,2,7,"自民","片岡武司","male","KATAOKA, TAKESHI",2,46,5365436,1,43884,27,331808,50.4,0,".","."
1996,"愛知","aichi",3,2,3,7,"民主","近藤昭一","male","KONDO, SHOICHI",0,38,11767342,0,38351,23.6,331808,50.4,0,".","."
1996,"愛知","aichi",3,0,4,7,"共産","柳田さえ子","female","YANAGIDA, SAEKO",0,50,2110540,0,26225,16.1,331808,50.4,0,".","."
1996,"愛知","aichi",3,0,5,7,"国民党","中野庸子","female","NAKANO, YOKO",0,54,".",0,773,0.5,331808,50.4,0,".","."
1996,"愛知","aichi",3,0,6,7,"文化フォーラム","小川修","male","OGAWA, OSAMU",0,35,".",0,722,0.4,331808,50.4,0,".","."
1996,"愛知","aichi",3,0,7,7,"無所","阿閉正雄","male","ITO, TADAHIKO",0,43,".",0,246,0.2,331808,50.4,0,".","."
1996,"愛知","aichi",4,1,1,6,"新進","三沢淳","male","MISAWA, JUN",0,44,12134215,0,57361,35.7,315704,52,0,".","."
1996,"愛知","aichi",4,0,2,6,"自民","塚本三郎","male","TSUKAMOTO, SABURO",9,69,13303388,2,48209,30,315704,52,0,".","."
1996,"愛知","aichi",4,2,3,6,"共産","瀬古由起子","female","SEKO, YUKIKO",0,49,3152034,0,30976,19.3,315704,52,0,".","."
1996,"愛知","aichi",4,0,4,6,"民主","高木浩司","male","TAKAGI, HIROSHI",0,43,6461034,0,23411,14.6,315704,52,0,".","."
1996,"愛知","aichi",4,0,5,6,"国民党","伊東敬芳","male","ITO, TAKAYOSHI",0,61,".",0,348,0.2,315704,52,0,".","."
1996,"愛知","aichi",4,0,6,6,"文化フォーラム","塩川哉直","male","SHIOKAWA, CHIKANAO",0,40,".",0,243,0.2,315704,52,0,".","."
1996,"愛知","aichi",5,1,1,7,"民主","赤松広隆","male","AKAMATSU, HIROTAKA",2,48,11894801,1,48648,30.9,319846,50.3,1,"父＝赤松勇（衆議院議員）","."
1996,"愛知","aichi",5,2,2,7,"自民","木村隆秀","male","KIMURA, TAKAHIDE",0,41,5010946,0,46485,29.5,319846,50.3,0,".","."
1996,"愛知","aichi",5,0,3,7,"新進","伴野豊","male","BANNO, YUTAKA",0,35,9817826,0,43028,27.3,319846,50.3,0,".","."
1996,"愛知","aichi",5,0,4,7,"共産","長友忠弘","male","NAGATOMO, TADAHIRO",0,37,2728093,0,17670,11.2,319846,50.3,0,".","."
1996,"愛知","aichi",5,0,5,7,"無所","鈴木孟","male","SUZUKI, TSUTOMU",0,63,70000,0,768,0.5,319846,50.3,0,".","."
1996,"愛知","aichi",5,0,6,7,"国民党","市川實","male","ICHIKAWA, MINORU",0,56,".",0,470,0.3,319846,50.3,0,".","."
1996,"愛知","aichi",5,0,7,7,"文化フォーラム","内山貴雄","male","UCHIYAMA, TAKAO",0,43,".",0,335,0.2,319846,50.3,0,".","."
1996,"愛知","aichi",6,1,1,8,"新進","草川昭三","male","KUSAKAWA, SHOZO",7,68,11252336,1,90812,39.7,433930,54.2,0,".","."
1996,"愛知","aichi",6,0,2,8,"自民","伊藤勝人","male","ITO, KATSUNDO",0,51,10987232,0,59631,26.1,433930,54.2,0,".","."
1996,"愛知","aichi",6,0,3,8,"民主","網岡雄","male","AMIOKA, YU",2,68,15156114,1,49074,21.5,433930,54.2,0,".","."
1996,"愛知","aichi",6,0,4,8,"共産","渡辺ますみ","female","WATANABE, MASUMI",0,39,2227575,0,25815,11.3,433930,54.2,0,".","."
1996,"愛知","aichi",6,0,5,8,"国民党","原田勇","male","HARADA, ISAMU",0,46,".",0,1107,0.5,433930,54.2,0,".","."
1996,"愛知","aichi",6,0,6,8,"文化フォーラム","村松庸子","female","MURAMATSU, YOKO",0,52,".",0,966,0.4,433930,54.2,0,".","."
1996,"愛知","aichi",6,0,7,8,"無所","笠原公夫","male","KASAHARA, KIMIO",0,63,".",0,776,0.3,433930,54.2,0,".","."
1996,"愛知","aichi",6,0,8,8,"政事公団太平会","増田真一","male","MASUDA, SHINICHI",0,73,5540,0,450,0.2,433930,54.2,0,".","."
1996,"愛知","aichi",7,1,1,7,"新進","青山丘","male","AOYAMA, TAKASHI",6,55,13493050,1,91439,47.5,357984,55.5,0,".","."
1996,"愛知","aichi",7,0,2,7,"自民","丹羽太一","male","NIWA, TAICHI",0,49,14030115,0,49727,25.9,357984,55.5,0,".","."
1996,"愛知","aichi",7,0,3,7,"民主","伊藤啓子","female","ITO, KEIKOB",0,40,5904264,0,24620,12.8,357984,55.5,0,".","."
1996,"愛知","aichi",7,0,4,7,"共産","原田秀俊","male","HARADA, HIDETOSHI",0,48,2198052,0,23009,12,357984,55.5,0,".","."
1996,"愛知","aichi",7,0,5,7,"自由連合","市川恒雄","male","ICHIKAWA, TSUNEO",0,56,8806268,0,2045,1.1,357984,55.5,0,".","."
1996,"愛知","aichi",7,0,6,7,"国民党","大島葉子","female","OSHIMA, YOKO",0,65,".",0,1080,0.6,357984,55.5,0,".","."
1996,"愛知","aichi",7,0,7,7,"文化フォーラム","江幡弘道","male","EBATA, HIROMICHI",0,34,".",0,442,0.2,357984,55.5,0,".","."
1996,"愛知","aichi",8,1,1,5,"自民","久野統一郎","male","KUNO, TOICHIRO",2,59,6368857,1,93053,44.4,377152,57.1,1,"父＝久野忠治（衆議院議員）","."
